id,title,type,description,release_year,age_certification,runtime,genres,contains_US,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts35256,Chef's Table,SHOW,"In this Emmy-nominated docuseries, find out what's inside the kitchens and minds of the international culinary stars who are redefining gourmet food.",2015,TV-MA,50,['documentation'],US,['US'],7,tt4295140,8.5,15176,16.397,7.9
ts53249,Trollhunters: Tales of Arcadia,SHOW,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds.",2016,TV-Y7,22,"['action', 'scifi', 'fantasy', 'animation', 'comedy', 'drama', 'family']",US,['US'],3,tt1734135,8.4,16509,35.879,8.5
tm239683,Team Foxcatcher,MOVIE,"With never-before seen home video, this film recounts the paranoid downward spiral of John E. du Pont and the murder of Olympic wrestler Dave Schultz.",2016,,91,"['documentation', 'crime', 'history', 'sport']",US,['US'],,tt5598216,7.3,6496,8.626,7.1
tm147082,"What Happened, Miss Simone?",MOVIE,"The film chronicles Nina Simone's journey from child piano prodigy to iconic musician and passionate activist, told in her own words.",2015,,101,"['music', 'documentation']",US,['US'],,tt5108670,7.6,13703,9.586,7.5
tm206512,Circle,MOVIE,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Organized in an inward-facing circle and unable to move, they quickly learn that every two minutes, one of them must die... executed by a strange device in the center of the room.",2015,,87,"['scifi', 'thriller', 'horror', 'drama', 'european']",US,['US'],,tt4473464,6,52925,12.217,6
tm200690,The Forest,MOVIE,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",2016,R,95,"['thriller', 'scifi', 'drama', 'fantasy', 'horror']",US,['US'],,tt3387542,4.8,42148,27.63,5.2
tm155102,Demonic,MOVIE,A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts.,2015,R,83,"['thriller', 'horror']",US,"['GB', 'US']",,tt1841642,5.3,14882,6.835,5.3
tm245378,Barry,MOVIE,A biopic of Barack Obama set during his time as a college student in New York City.,2016,,104,['drama'],US,['US'],,tt5477566,5.9,7116,10.953,5.8
ts52830,Gilmore Girls: A Year in the Life,SHOW,"Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.",2016,TV-14,92,"['comedy', 'drama']",US,['US'],1,tt5435008,7.6,36359,20.316,7.6
tm138672,Frank & Lola,MOVIE,A talented Las Vegas chef falls in love with an aspiring fashion designer but turns violently jealous when he realizes that she's hiding dark secrets.,2016,,88,"['drama', 'romance', 'thriller', 'crime']",US,['US'],,tt1290138,5.9,6029,9.626,5.6
